เลขทะเบียน,ชื่อบริษัทภาษาไทย,ชื่อบริษัทภาษาอังกฤษ,ประกอบธุรกิจ,หมวดธุรกิจ,ที่ตั้ง,สถานะ,วันที่จดทะเบียน,วันที่จดทะเบียน(ชื่อเดือน),ทุนจดทะเบียน,ก่อตั้งโดย,ข้อมูลสำหรับติดต่อ,ข้อมูลสำหรับการติดต่อ,เบอร์โทร,Website,หลักทรัพย์,ที่มา,สมัครงาน / ดูตำแหน่งงานว่าง,วันที่ร้าง,วันที่เลิก,เสร็จชำระบัญชี,เว็บไซต์,พิพากษาล้มละลาย,ศาลสั่งพิทักษ์ทรัพย์,ทะเบียน,จดทะเบียน
'0105543117522,บริษัท ซี.เค.โฟรเซน ฟิช แอนด์ ฟู้ด จำกัด,"C.K. FROZEN FISH & FOOD CO., LTD.",ประกอบกิจการส่งออกอาหารแช่แข็ง เช่น เนื้อปลา กุ้ง,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,109/1 หมู่ที่ 21 ซอยจงศิริ ถนนบางพลี-ตำหรุ ตำบลบางพลีใหญ่ อำเภอบางพลี จ.สมุทรปราการ 10540,ยังดำเนินกิจการอยู่,28/12/2543,28 ธันวาคม 2543,200000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'025178858,www.ckfff.com,,https://www.dataforthai.com/company/0105543117522/,,,,,www.ckfff.com,,,,
'0745530000065,บริษัท ซีรอเยลอาหารทะเล จำกัด,SEA ROYAL MARINE FOOD PRODUCT COMPANY LIMITED,ผลิตเนื้อปลาก้อนแช่แข็ง,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,80 หมู่ที่ 1 ถนนธรรมคุณากร ตำบลบางหญ้าแพรก อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,5/2/2530,5 กุมภาพันธ์ 2530,135000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0344239614,,,https://www.dataforthai.com/company/0745530000065/,,,,,,,,,
'0745521000091,บริษัท ไทยรอแยลฟรอเซนฟู๊ด จำกัด,THE THAI ROYALFROZEN FOOD COMPANY LIMITED,ผลิตอาหารทะเลแช่แข็งส่งออก,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,119/99 หมู่ที่ 1 ถนนวิเชียรโชฎก ตำบลท่าจีน อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,24/10/2521,24 ตุลาคม 2521,30000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034423302,http://www.thairoyalfrozen.com/,,https://www.dataforthai.com/company/0745521000091/,,,,,http://www.thairoyalfrozen.com/,,,,
'0905548000278,บริษัท นิสซุย (ประเทศไทย) จำกัด,NISSUI (THAILAND) COMPANY LIMITED,ผลิตและแปรรูปสัตว์น้ำแช่แข็ง,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,118/1 หมู่ที่ 1 ถนนกาญจนวนิช ตำบลท่าข้าม อำเภอหาดใหญ่ จ.สงขลา 90110,ยังดำเนินกิจการอยู่,3/2/2548,3 กุมภาพันธ์ 2548,200000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0743802826,www.nissui.co.th,,https://www.dataforthai.com/company/0905548000278/,,,,,www.nissui.co.th,,,,
'0905527000660,บริษัท แปซิฟิคแปรรูปสัตว์น้ำ จำกัด,"PACIFIC FISH PROCESSING CO., LTD.",ผลิตเนื้อปลาบดแช่แข็ง ผลิตอาหารจากเนื้อปลาบดแช่แข็ง,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,27/4 หมู่ที่ 7 ถนนเก้าเส้ง-จะนะ ตำบลเขารูปช้าง อำเภอเมืองสงขลา จ.สงขลา 90000,ยังดำเนินกิจการอยู่,30/11/2527,30 พฤศจิกายน 2527,500000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,,http://www.pfp-pacific.com,,https://www.dataforthai.com/company/0905527000660/,,,,,http://www.pfp-pacific.com,,,,
'0105548114254,บริษัท พัฒนาโฟรเซ่นฟู้ด จำกัด,PHATTHANA FROZEN FOOD COMPANY LIMITED,ประกอบกิจการค้าสัตว์น้ำ สัตว์แช่แข็ง รวมทั้งผลพลอยได้และเศษต่างๆของสัตว์น้ำ,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,44/4 ซอยเจริญกรุง 69 แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,31/8/2548,31 สิงหาคม 2548,100000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0221255245,,,https://www.dataforthai.com/company/0105548114254/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,,,,,
'0745548002574,บริษัท พี.ซี.ทูน่า จำกัด,C.P.TUNA COMPANY LIMITED,,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,230/1 หมู่ที่ 10 ตำบลคลองมะเดื่อ อำเภอกระทุ่มแบน จ.สมุทรสาคร 74110,ยังดำเนินกิจการอยู่,11/7/2548,11 กรกฎาคม 2548,50000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0348772869,www.pctuna.co.th,,https://www.dataforthai.com/company/0745548002574/,,,,,www.pctuna.co.th,,,,
'0745543001278,บริษัท มารีนโกลด์โปรดักส์ จำกัด,MARINE GOLD PRODUCTS LIMITED,ผลิตและส่งออกอาหารทะเลแช่แข็ง,การผลิตอาหารปรุงสำเร็จแช่แข็ง,57/37 หมู่ที่ 4 ถนนเอกชัย ตำบลโคกขาม อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,12/6/2543,12 มิถุนายน 2543,210100000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034413091,http://www.mrgshrimp.com,,https://www.dataforthai.com/company/0745543001278/,,,,,http://www.mrgshrimp.com,,,,
'0925533000056,บริษัท ไว้ท์สตาร์โฟรเซ่นซีฟู้ดส์ จำกัด,"WHITE STAR FROZEN SEAFOODS CO., LTD.",,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,32/50 ซอยหลิมสกุล ถนนขื่อนา ตำบลกันตัง อำเภอกันตัง จ.ตรัง 92110,ยังดำเนินกิจการอยู่,10/5/2533,10 พฤษภาคม 2533,35000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'075251275,,,https://www.dataforthai.com/company/0925533000056/,,,,,,,,,
'0855529000064,บริษัท สยามชัยอาหารสากล จำกัด,"SIAMCHAI INTERNATIONAL FOOD CO., LTD.","ส่งออกเนื้อปลาบด,สัตว์น้ำชนิดต่างๆ,อาหารกึ่งสำเร็จรูปและสำเร็จรูปแช่แข็ง",การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,73/3 หมู่ที่ 2 ตำบลบางริ้น อำเภอเมืองระนอง จ.ระนอง 85000,ยังดำเนินกิจการอยู่,4/11/2529,4 พฤศจิกายน 2529,350000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0778338614,,,https://www.dataforthai.com/company/0855529000064/,,,,,,,,,
'0105532016274,บริษัท ห้องเย็นท่าข้าม จำกัด,"THAKAM COLD STORAGE CO.,LTD.",,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,369 หมู่ที่ 4 ตำบลบางโทรัด อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,22/2/2532,22 กุมภาพันธ์ 2532,62000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034434154,https://www.facebook.com/thakamcold/,,https://www.dataforthai.com/company/0105532016274/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0745546001937,บริษัท อนุสรณ์มหาชัยซูริมิ จำกัด,ANUSORN MAHACHAI SURIMI COMPANY LIMITED,ผลิตและจำหน่ายเนื้อปลาบดแช่แข็ง อาหารกระป๋อง และอื่นๆ,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,59/7 หมู่ที่ 8 ตำบลท่าทราย อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,14/8/2546,14 สิงหาคม 2546,129000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0344141613,https://anusorngroup.co.th/,,https://www.dataforthai.com/company/0745546001937/,,,,,,,,,
'0105526024252,บริษัท อภิทุน เอ็นเตอร์ไพรส์ อุตสาหกรรม จำกัด,"APITOON ENTERPRISE INDUSTRY CO., LTD.",ผลิตและขายสินค้าผลิตภัณฑ์เนื้อปลาบดแช่แข็ง,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,21/49-50 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,15/6/2526,15 มิถุนายน 2526,200000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'022850051,,,https://www.dataforthai.com/company/0105526024252/,ดูตำแหน่งงานจาก JOBMYWAY,,,,,,,,
'0745533000236,บริษัท อันดามันซูริมิ อินดัสทรีส์ จำกัด,ANDAMAN SURIMI INDUSTRIES COMPANY LIMITED,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,12/32 หมู่ที่ 3 ตำบลบางกระเจ้า อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,13/3/2533,13 มีนาคม 2533,170000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034822958,,,https://www.dataforthai.com/company/0745533000236/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,,
'0105533099441,บริษัท เอ.พี.โฟร์เซ่นฟู้ดส์ จำกัด,"A.P>FROZEN FOODS CO., LTD.",ผลิตและจำหน่ายเนื้อปลาแปรรูปแช่แข็งวุ้นผสมคาราจีแนน,การผลิตปลาและผลิตภัณฑ์จากปลาสดแช่เย็น หรือแช่แข็ง,21/49-50 ถนนสาทรใต้ แขวงทุ่งมหาเมฆ เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,21/8/2533,21 สิงหาคม 2533,150000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'022850051,http://www.apfrozen.com,,https://www.dataforthai.com/company/0105533099441/,ดูตำแหน่งงานจาก JOBTOPGUN,,,,http://www.apfrozen.com,,,,
'0745548003821,บริษัท กัญญามาศ ฟู้ดส์ จำกัด,GIAHUA FOODS TRADING COMPANY LIMITED,ส่งออกอาหารทะเลแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,923/151 ข ถนนเอกชัย ตำบลมหาชัย อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,26/10/2548,26 ตุลาคม 2548,30000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034836495,,,https://www.dataforthai.com/company/0745548003821/,,,,,,,,,
'0925532000095,บริษัท กันตังซีฟู้ด จำกัด,KANTANG SEAFOOD COMPANY LIMITED,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำ (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,32/50 ซอยหลิมสกุล ถนนขือนา ตำบลกันตัง อำเภอกันตัง จ.ตรัง 92110,ยังดำเนินกิจการอยู่,25/8/2532,25 สิงหาคม 2532,40000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'075251655,https://www.kantanggroup.com/,,https://www.dataforthai.com/company/0925532000095/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0105558133367,บริษัท เกมบอล (ไทยแลนด์) จำกัด,GAMBOL (THAILAND) COMPANY LIMITED,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด(ยกเว้นปลา)แช่เย็นหรือแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,7/2 หมู่ที่ 4 ตำบลพนานิคม อำเภอนิคมพัฒนา จ.ระยอง 21180,ยังดำเนินกิจการอยู่,18/8/2558,18 สิงหาคม 2558,489850000,,,False,,www.gambolpet.com,,https://www.dataforthai.com/company/0105558133367/,,,,,www.gambolpet.com,,,,
'0745552000033,บริษัท โกลด์เด้น ซีฟู้ด อินเตอร์เนชั่นแนล จำกัด,GOLDEN SEAFOOD INTERNATIONAL COMPANY LIMITED,"ผลิตภัณฑ์สัตว์น้ำชนิดต่างๆ แช่แข็ง,ผลิตภัณฑ์อาหารกึ่งสำเร็จรูปแช่แข็ง",การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,111/19 หมู่ที่ 2 ตำบลบางหญ้าแพรก อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,5/1/2552,5 มกราคม 2552,300000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0344573114,,,https://www.dataforthai.com/company/0745552000033/,,,,,,,,,
'0745549000958,บริษัท โกลเด้น ซี โฟรเซ่นฟู้ดส์ จำกัด,GOLDEN SEA FROZEN FOODS COMPANY LIMITED,ประกอบกิจการแปรรูปสัตว์น้ำ นำเข้าและส่งออก สินค้าสัตว์น้ำ และซากหสัตว์น้ำทุกชนิด,การขายส่งปลาและผลิตภัณฑ์สัตว์น้ำ,1277 ถนนวิเชียรโชฎก ตำบลมหาชัย อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,28/2/2549,28 กุมภาพันธ์ 2549,60000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034820841,,,https://www.dataforthai.com/company/0745549000958/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,,
'0745545001259,บริษัท คริสตัลโฟรเซ่นฟู้ดส์ จำกัด,"CRYSTAL FROZEN FOODS CO., LTD.",ผลิตและจำหน่ายอาหารทะเลแปรรูปแช่เยือกแข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,109/4 หมู่ที่ 1 ตำบลบ้านบ่อ อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,7/6/2545,7 มิถุนายน 2545,100000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034419333,,,https://www.dataforthai.com/company/0745545001259/,ดูตำแหน่งงานจาก JOBTHAI,,,,,,,,
'0105515000918,บริษัท คิงฟิชเชอร์ โฮลดิ้งส์ จำกัด,KING FISHER HOLDING COMPANY LIMITED,ผลิต และส่งออก อาหารทะเลแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,127/27 ชั้น 22 อาคารปัญจธานีทาวเวอร์ ถนนนนทรี(รัชดาภิเษก) แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,8/2/2515,8 กุมภาพันธ์ 2515,119911500,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'026811065,,,https://www.dataforthai.com/company/0105515000918/,,,,,,,,,
'0745548001772,บริษัท เคแอนด์ยู เอ็นเตอร์ไพรซ์ จำกัด,"K & U ENTERPRISE CO.,LTD.",ผลิตอาหารทะเลแช่แข็งและไม่แช่แข็งทุกชนิดทุกประเภทผลิตอาหารแปรรูปทุกชนิดทุกประเภท,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,1289 ถนนวิเชียรโชฎก ตำบลมหาชัย อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,6/5/2548,6 พฤษภาคม 2548,120000000,,,False,'034821126,,,https://www.dataforthai.com/company/0745548001772/,,,,,,,,,
'0745562003574,บริษัท เคียวคุโย โกลบอล ซีฟู้ดส์ จำกัด,KYOKUYO GLOBAL SEAFOODS COMPANY LIMITED,ผลิต,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,55/237 หมู่ที่ 6 ตำบลท่าทราย อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,2/4/2562,2 เมษายน 2562,350000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0348211267,https://www.kgsf.co.th/th/,,https://www.dataforthai.com/company/0745562003574/,,,,,,,,,
'0105544017823,บริษัท จันทบุรี โฟรเซ่นฟู้ด จำกัด,CHANTHABURI FROZEN FOOD COMPANY LIMITED,,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,44 ซอยเจริญกรุง 69 แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,21/2/2544,21 กุมภาพันธ์ 2544,311500000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0221255245,,,https://www.dataforthai.com/company/0105544017823/,,,,,,,,,
'0105537019298,บริษัท จันทบุรีซีฟู้ดส์ จำกัด,"CHANTHABURI SERFOODS CO., LTD.",,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,44/2-3 ซอยเจริญกรุง 69 แขวงยานนาวา เขตสาทร กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,16/2/2537,16 กุมภาพันธ์ 2537,261500000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'026750711,,,https://www.dataforthai.com/company/0105537019298/,,,,,,,,,
'0105546088680,บริษัท ซี เวลท์ โฟรเซ่น ฟู้ด จำกัด,SEA WEALTH FROZEN FOOD COMPANY LIMITED,ผลิตและส่งออกอาหารทะเลกึ่งสำเร็จรูปแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,216/45 อาคารแอล พี เอ็น ทาวเวอร์ ชั้น 12 ถนนนางลิ้นจี่ แขวงช่องนนทรี เขตยานนาวา กรุงเทพมหานคร 10120,ยังดำเนินกิจการอยู่,29/7/2546,29 กรกฎาคม 2546,210000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,,http://www.seawealth-food.com,,https://www.dataforthai.com/company/0105546088680/,ดูตำแหน่งงานจาก JOBBKK,,,,http://www.seawealth-food.com,,,,
'0107537000751,บริษัท ซีเฟรชอินดัสตรี จำกัด (มหาชน),SEAFRESH INDUSTRY PUBLIC COMPANY LIMITED,ผลิตอาหารทะเลแช่แข็งและอาหารกึ่งสำเร็จรูปแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,402 หมู่ที่ 8 ตำบลปากน้ำ อำเภอเมืองชุมพร จ.ชุมพร 86120,ยังดำเนินกิจการอยู่,9/3/2537,9 มีนาคม 2537,927099200,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'026378888,www.seafresh.com,CFRESH,https://www.dataforthai.com/company/0107537000751/,,,,,www.seafresh.com,,,,
'0905551002057,บริษัท ซีฮอร์ส อินเตอร์เทรด จำกัด,SEAHORSE INTERTRADE COMPANY LIMITED,ผลิตและจำหน่ายอาหารทะเลแช่แข็งผลิตและจำหน่ายอาหารทะเลกระป๋อง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,199 หมู่ที่ 3 ถนนจะนะ-สงขลา ตำบลทุ่งหวัง อำเภอเมืองสงขลา จ.สงขลา 90000,ยังดำเนินกิจการอยู่,2/9/2551,2 กันยายน 2551,300000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0744682209,,,https://www.dataforthai.com/company/0905551002057/,,,,,,,,,
'0765539000050,บริษัท เซียนหนิง ซีฟู้ด จำกัด,"XIAN-NING SEAFOOD CO., LTD.",ผลิตและจำหน่าย การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสดแช่เย็นหรือแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,254 หมู่ที่ 7 ตำบลบ้านแหลม อำเภอบ้านแหลม จ.เพชรบุรี 76110,ยังดำเนินกิจการอยู่,18/1/2539,18 มกราคม 2539,320000000,,,False,,https://www.xianningseafood.com/,,https://www.dataforthai.com/company/0765539000050/,,,,,,,,,
'0105528040662,บริษัท ณรงค์ซีฟูด จำกัด,"NARONG SEAFOOD CO., LTD.",ผลิตและส่งออกอาหารทะเลแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,5/4-6 หมู่ที่ 4 ถนนเศรษฐกิจ ตำบลนาดี อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,21/11/2528,21 พฤศจิกายน 2528,666670070,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034424605,,,https://www.dataforthai.com/company/0105528040662/,ดูตำแหน่งงานจาก JOBBKK,,,,,,,,
'0925532000010,บริษัท ตรังชัวร์ จำกัด,"TRANG SURE CO., LTD.",การผลิตผลิตภัณฑ์สัตว์น้ำเยือกแข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,89 อาคารสุรินทร์ ถนนเชียงใหม่ แขวงคลองสาน เขตคลองสาน กรุงเทพมหานคร 10600,ยังดำเนินกิจการอยู่,5/1/2532,5 มกราคม 2532,100000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,,,,https://www.dataforthai.com/company/0925532000010/,,,,,,,,,
'0107537001269,บริษัท ตรังผลิตภัณฑ์อาหารทะเล จำกัด (มหาชน),TRANG SEAFOOD PRODUCTS PUBLIC COMPANY LIMITED,การแปรรูปและการถนอมสัตว์น้ำอื่นๆ,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,29 หมู่ที่ 6 ถนนกันตัง ตำบลควนปริง อำเภอเมืองตรัง จ.ตรัง 92000,ยังดำเนินกิจการอยู่,28/4/2537,28 เมษายน 2537,60119255,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'075230707,www.trstrang.com,,https://www.dataforthai.com/company/0107537001269/,,,,,www.trstrang.com,,,,
'0825559000682,บริษัท ท็อป โปรดักส์ ฟู้ด จำกัด,TOP PRODUCT FOOD COMPANY LIMITED,ผลิตสัตว์น้ำสดแช่เย็นหรือแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,11 หมู่ที่ 7 ตำบลนาเตย อำเภอท้ายเหมือง จ.พังงา 82120,ยังดำเนินกิจการอยู่,11/8/2559,11 สิงหาคม 2559,89000000,,,False,'024382878,,,https://www.dataforthai.com/company/0825559000682/,,,,,,,,,
'0743531000199,ห้างหุ้นส่วนจำกัด ท่าเรือมารีนโปรดัคส์,"TARUA MARINE PRODUCTS LTD., PART.",การส่งออกอาหารทะเลแช่แข็ง,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,9/2 หมู่ที่ 1 ตำบลนาดี อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,29/8/2531,29 สิงหาคม 2531,43000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'034834040,www.taruamarine.co.th,,https://www.dataforthai.com/company/0743531000199/,ดูตำแหน่งงานจาก JOBTHAI,,,,www.taruamarine.co.th,,,,
'0745531000441,บริษัท เทพคินโช ฟูดส์ จำกัด,TEP KINSHO FOODS COMPANY LIMITED,ผลิตอาหารทะเลแช่เยือกแข็งเพื่อส่งออกและจำหน่ายในประเทศ,การผลิตสัตว์น้ำและผลิตภัณฑ์สัตว์น้ำสด (ยกเว้นปลา) แช่เย็นหรือแช่แข็ง,76/1-2 หมู่ที่ 3 ถนนเอกชัย ตำบลนาดี อำเภอเมืองสมุทรสาคร จ.สมุทรสาคร 74000,ยังดำเนินกิจการอยู่,7/6/2531,7 มิถุนายน 2531,130000000,,สมาชิก dataforthai.com สามารถดูข้อมูลการติดต่อเพิ่มเติมได้  สมัครสมาชิกฟรี,True,'0348643315,http://www.tepkinsho.com,,https://www.dataforthai.com/company/0745531000441/,ดูตำแหน่งงานจาก JOBBKK,,,,http://www.tepkinsho.com,,,,
